school_id,dep_id,school_name,department_name,depname_abbr,school_group_my,category_id,category_name,basic_class_rank,basic_preference_score,des_class_rank,new_des_score
1,1302,國立臺灣大學,土木工程學系,臺大土木,1,7,工程、製造及營建,17,2.122603,31,394.6
13,13102,國立交通大學,土木工程學系,交大土木,1,7,工程、製造及營建,51,1.21494,77,369.8
4,4142,國立成功大學,土木工程學系,成大土木,1,7,工程、製造及營建,55,1.169678,84,362.75
3,3172,國立中興大學,土木工程學系,中興土木,2,7,工程、製造及營建,107,0.512117,151,330.7780532
16,16092,國立中央大學,土木工程學系,中央土木,2,7,工程、製造及營建,188,0.175088,124,344.4216339
15,15292,逢甲大學,土木工程學系,逢甲土木,4,7,工程、製造及營建,223,0.063388,273,280.9900399
150,150042,國立宜蘭大學,土木工程學系,宜蘭土木,3,7,工程、製造及營建,230,0.05608,240,292.9252266
8,8112,中原大學,土木工程學系,中原土木,4,7,工程、製造及營建,237,0.031887,278,279.6207572
14,14372,淡江大學,土木工程學系,淡江土木,4,7,工程、製造及營建,251,0.001761,322,262.2041055
58,58212,國立暨南國際大學,土木工程學系,暨南土木,3,7,工程、製造及營建,322,-0.439874,310,270.2664968
43,43272,中華大學,土木工程學系,中華土木,6,7,工程、製造及營建,359,-1.078609,362,202.5336557
153,153062,國立金門大學,土木與工程管理學系,金門土木工管,3,7,工程、製造及營建,147,0.310946,324,259.9697623
100,100302,國立嘉義大學,土木與水資源工程學系,嘉義土木水源,3,7,工程、製造及營建,241,0.016429,269,283.309339
151,151032,國立聯合大學,土木與防災工程學系,聯合土木防災,3,7,工程、製造及營建,297,-0.215612,314,266.5522696
1,1152,國立臺灣大學,大氣科學系,臺大大氣,1,5,自然科學、數學及統計,10,2.450195,38,390.8
17,17142,中國文化大學,大氣科學系,文化大氣,6,5,自然科學、數學及統計,120,0.436072,364,201.0955823
16,16252,國立中央大學,大氣科學學系大氣組,中央大氣大氣,2,5,自然科學、數學及統計,82,0.813166,127,342.4486945
16,16262,國立中央大學,大氣科學學系太空組,中央大氣太空,2,5,自然科學、數學及統計,103,0.547249,119,346.421346
1,1492,國立臺灣大學,工商管理學系科技管理組,臺大工商管理科管,1,4,商業、管理及法律,18,2.043944,16,407.2683593
1,1332,國立臺灣大學,工程科學及海洋工程學系,,1,7,工程、製造及營建,14,2.289934,22,400.1
4,4162,國立成功大學,工程科學系,成大工科,1,7,工程、製造及營建,88,0.782889,67,375.4
11,11044,國立清華大學,工程與系統系(低碳綠能組),,1,7,工程、製造及營建,44,1.335606,45,387.6
11,11044,國立清華大學,工程與系統系(智慧奈米組),,1,7,工程、製造及營建,65,0.979118,40,390.45
40,40192,元智大學,工程學院英語學士班,,4,7,工程、製造及營建,207,0.116777,311,269.7554814
11,11312,國立清華大學,工業工程與工程管理學系,清大工工與工管,1,7,工程、製造及營建,28,1.690901,55,382.5759563
9,9172,東海大學,工業工程與經營資訊學系(智慧設計與生產),,4,4,商業、管理及法律,174,0.218187,79,366.8484035
13,13222,國立交通大學,工業工程與管理學系,交大工工,1,7,工程、製造及營建,53,1.197566,62,378.0210558
43,43282,中華大學,工業產品設計系(工業設計組),,6,2,藝術及人文,369,-1.543001,368,193.627473
4,4442,國立成功大學,工業設計學系,成大工設,1,2,藝術及人文,38,1.507263,87,361.1963299
9,9492,東海大學,工業設計學系,東海工設,4,2,藝術及人文,166,0.238466,286,276.6031097
22,22062,國立高雄師範大學,工業設計學系,高師工設,3,2,藝術及人文,212,0.099356,223,300.4403057
8,8162,中原大學,工業與系統工程學系工程組,中原工業系統工程,4,7,工程、製造及營建,165,0.247352,282,277.7529938
4,4232,國立成功大學,工業與資訊管理學系,成大工業資管,1,4,商業、管理及法律,135,0.357323,78,369.1
