school_id,dep_id,school_name,department_name,depname_abbr,school_group_my,category_id,category_name,basic_class_rank,basic_preference_score,des_class_rank,new_des_score
20,20502,輔仁大學,社會工作學系,輔仁社會工作,4,9,醫藥衛生及社會福利,620,-0.786953,315,402.7236834
51,51622,長榮大學,社會工作學系,長榮社工,6,9,醫藥衛生及社會福利,713,-1.095472,564,342.0489929
132,132052,稻江科技暨管理學院,社會工作學系,,6,9,醫藥衛生及社會福利,785,-1.767251,804,200.514439
50,50022,實踐大學,社會工作學系(臺北校區),實踐社會工作(臺北),5,9,醫藥衛生及社會福利,555,-0.638426,584,337.0175979
47,47222,世新大學,社會心理學系,世新社會心理,5,3,社會科學、新聞學及圖書資訊,689,-1.007093,591,335.1286542
58,58032,國立暨南國際大學,社會政策與社會工作學系,暨南社會政策工作,3,9,醫藥衛生及社會福利,384,-0.300175,339,396.6178309
2,2032,國立臺灣師範大學,社會教育學系,臺師社會教育,2,1,教育,118,0.628563,127,460.3592086
36,36092,國立屏東大學,社會發展學系,屏東社會發展,3,3,社會科學、新聞學及圖書資訊,373,-0.273754,325,400.0835424
35,35112,臺北市立大學,社會暨公共事務學系,北市大社會公共事務,3,4,商業、管理及法律,524,-0.571276,160,448.4289689
40,40082,元智大學,社會暨政策科學學系,元智社會政策科學,4,3,社會科學、新聞學及圖書資訊,420,-0.365698,461,369.5223206
41,41102,國立中正大學,社會福利學系,中正社會福利,2,9,醫藥衛生及社會福利,287,-0.0611,192,440.0250112
17,17222,中國文化大學,社會福利學系,文化社會福利,6,9,醫藥衛生及社會福利,613,-0.768044,704,288.8360039
32,32082,國立臺北教育大學,社會與區域發展學系,北教社會區域發展,3,3,社會科學、新聞學及圖書資訊,79,0.960557,197,438.4817527
1,1202,國立臺灣大學,社會學系,臺大社會,1,3,社會科學、新聞學及圖書資訊,44,1.377681,14,501.5608407
6,6082,國立政治大學,社會學系,政大社會,1,3,社會科學、新聞學及圖書資訊,62,1.11456,55,480.1310938
99,99132,國立臺北大學,社會學系,臺北社會,2,3,社會科學、新聞學及圖書資訊,180,0.328422,120,461.9853157
5,5052,東吳大學,社會學系,東吳社會,4,3,社會科學、新聞學及圖書資訊,274,-0.014884,300,407.9970306
27,27202,國立中山大學,社會學系,中山社會,2,3,社會科學、新聞學及圖書資訊,296,-0.083187,124,461.4278434
9,9412,東海大學,社會學系,東海社會,4,3,社會科學、新聞學及圖書資訊,372,-0.269801,471,365.503142
20,20492,輔仁大學,社會學系,輔仁社會,4,3,社會科學、新聞學及圖書資訊,547,-0.612347,305,406.4568097
34,34262,國立東華大學,社會學系,東華社會,3,3,社會科學、新聞學及圖書資訊,585,-0.713886,295,409.7680058
130,130192,佛光大學,社會學暨社會工作學系,,6,3,社會科學、新聞學及圖書資訊,740,-1.212318,675,301.8690967
132,132022,稻江科技暨管理學院,表演藝術學士學位學程,,6,2,藝術及人文,775,-1.609779,806,168.1796489
46,46360,銘傳大學,金融科技應用學士學位學程,,5,4,商業、管理及法律,688,-1.005773,535,350.9427338
101,101132,國立高雄大學,金融管理學系,高雄金管,3,4,商業、管理及法律,91,0.828998,157,449.3373301
99,99052,國立臺北大學,金融與合作經營學系,臺北金融合作經營,2,4,商業、管理及法律,98,0.772333,49,482.5664329
20,20482,輔仁大學,金融與國際企業學系,輔仁金融國企,4,4,商業、管理及法律,149,0.443816,164,447.6352383
6,6182,國立政治大學,金融學系,政大金融,1,4,商業、管理及法律,54,1.211023,16,499.413759
153,153152,國立金門大學,長期照護學系,金門長照,3,9,醫藥衛生及社會福利,362,-0.248711,450,371.8570375
6,6292,國立政治大學,阿拉伯語文學系,政大阿拉伯語文,1,2,藝術及人文,29,1.648293,68,475.8410419
17,17072,中國文化大學,俄國語文學系,文化俄文,6,2,藝術及人文,217,0.180978,685,297.8098813
14,14122,淡江大學,俄國語文學系,淡江俄文,4,2,藝術及人文,353,-0.224531,442,373.0241298
35,35202,臺北市立大學,城市發展學系,北市大城市發展,3,7,工程、製造及營建,187,0.291403,132,459.7569335
16,16292,國立中央大學,客家語文暨社會科學學系,中央客家語社會,2,3,社會科學、新聞學及圖書資訊,41,1.394185,147,452.4288575
8,8302,中原大學,室內設計學系,中原室內設計,4,2,藝術及人文,89,0.841253,228,428.0047486
134,134522,亞洲大學,室內設計學系(住宅空間組),,5,2,藝術及人文,413,-0.355855,266,416.5816992
134,134512,亞洲大學,室內設計學系(商業空間組),,5,2,藝術及人文,677,-0.951767,331,398.9044956
17,17502,中國文化大學,建築及都市設計學系,文化建築都市,6,7,工程、製造及營建,505,-0.532542,605,331.5445247
50,50092,實踐大學,建築設計學系(臺北校區),實踐建築設計(臺北),5,7,工程、製造及營建,30,1.546941,328,399.9175085
43,43232,中華大學,建築與都計學系(建築設計組),,6,7,工程、製造及營建,471,-0.473689,664,305.4677584
