school_id,dep_id,school_name,department_name,depname_abbr,school_group_my,category_id,category_name,basic_class_rank,basic_preference_score,des_class_rank,new_des_score
7,7052,高雄醫學大學,口腔衛生學系,高醫口腔衛生,1,9,醫藥衛生及社會福利,118,0.386676,137,379.1964997
109,109142,臺北醫學大學,口腔衛生學系,北醫口腔衛生,1,9,醫藥衛生及社會福利,113,0.481894,84,426.6682235
3,3342,國立中興大學,土壤環境科學系,中興土壤環境,3,8,農業、林業、漁業及獸醫,103,0.567374,146,372.8630859
12,12122,中國醫藥大學,中國藥學暨中藥資源學系,中醫中藥資源,1,9,醫藥衛生及社會福利,132,0.225052,64,449.0771788
30,30022,長庚大學,中醫學系,長庚中醫,1,9,醫藥衛生及社會福利,18,2.449671,12,509.0703679
12,12042,中國醫藥大學,中醫學系乙組,中醫中醫乙,1,9,醫藥衛生及社會福利,40,1.793779,15,505.8619982
12,12032,中國醫藥大學,中醫學系甲組,中醫中醫甲,1,9,醫藥衛生及社會福利,36,1.812198,9,510.3856499
7,7112,高雄醫學大學,公共衛生學系,高醫公共衛生,1,9,醫藥衛生及社會福利,149,0.042577,163,361.5179293
26,26182,中山醫學大學,公共衛生學系,中山醫公共衛生,1,9,醫藥衛生及社會福利,195,-0.316893,164,358.4449324
20,20112,輔仁大學,公共衛生學系,輔仁公共衛生,1,9,醫藥衛生及社會福利,127,0.260168,181,345.0146984
109,109092,臺北醫學大學,公共衛生學系,北醫公共衛生,1,9,醫藥衛生及社會福利,85,0.735205,82,428.1855728
108,108032,慈濟大學,公共衛生學系,慈濟公共衛生,1,9,醫藥衛生及社會福利,147,0.082365,219,291.2015717
12,12152,中國醫藥大學,公共衛生學院大一不分系,中醫公共衛生不分系,1,9,醫藥衛生及社會福利,182,-0.205524,131,381.1757812
108,108082,慈濟大學,分子生物暨人類遺傳學系,慈濟分子人類,1,5,自然科學、數學及統計,156,-0.026576,222,277.6421375
9,9162,東海大學,化工與材工系(生化工程組),,4,7,工程、製造及營建,161,-0.064013,198,324.6276796
7,7192,高雄醫學大學,心理學系,高醫心理,1,3,社會科學、新聞學及圖書資訊,110,0.502942,99,415.7958809
41,41112,國立中正大學,心理學系,中正心理,2,3,社會科學、新聞學及圖書資訊,108,0.522072,91,422.9874142
4,4382,國立成功大學,心理學系,成大心理,1,3,社會科學、新聞學及圖書資訊,55,1.273066,57,453.9255142
1,1132,國立臺灣大學,心理學系,臺大心理,1,3,社會科學、新聞學及圖書資訊,13,2.621116,40,476.5408486
